date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:49:40	4178/4178	U-----	200	untouched ('')	image/gif	etag:%2265999b3f-d10%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/ajax-loader.gif	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/ajax-loader.gif	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
07:49:40	2048/2048	U-----	200	untouched ('')	application/octet-stream	etag:%2265999b40-3f6%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.eot?	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slickd41d.eot	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
07:49:41	1380/1380	U-----	200	untouched ('')	application/octet-stream	etag:%2265999b42-54a%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.woff	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.woff	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
07:50:57	894/894	U-----	200	untouched ('')	image/x-icon	etag:W/%2237e-190a27063e8%22	https://www.fanduel.com/watch/favicon.ico	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/favicon.ico	(from https://www.fanduel.com/watch)
07:51:00	194278/194278	U-----	200	untouched ('OK')	text/css	etag:W/%222f6e6-190db6cd0aa%22	https://www.fanduel.com/watch/_next/static/css/3499ccd00b4b2f18.css	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/css/3499ccd00b4b2f18.css	(from https://www.fanduel.com/watch)
07:51:01	6473/6473	U--MCZ	200	updated ('OK')	text/css	etag:W/%221949-190f9819ace%22	https://www.fanduel.com/watch/_next/static/css/a9666763fd10854c.css	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/css/a9666763fd10854c.css	(from https://www.fanduel.com/watch)
07:51:03	137922/137922	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%2221ac2-190f9819ace%22	https://www.fanduel.com/watch/_next/static/chunks/de10f836.5b63222071b01494.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/de10f836.5b63222071b01494.js	(from https://www.fanduel.com/watch)
07:51:07	107275/107275	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%221a30b-190fe2aa99b%22	https://www.fanduel.com/watch/_next/static/chunks/4168.1e802742540f2e16.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/4168.1e802742540f2e16.js	(from https://www.fanduel.com/watch)
07:51:21	2152/2152	U-----	200	untouched ('OK')	image/svg+xml	etag:%2265999b40-397%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.svg	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.svg	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
07:51:22	1892/1892	U-----	200	untouched ('')	application/octet-stream	etag:%2265999b41-3c6%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.ttf	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.ttf	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
07:52:20	91460/91460	U-----	200	untouched ('')	application/javascript	etag:W/%2216544-190db6cd0aa%22	https://www.fanduel.com/watch/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.fanduel.com/watch)
07:52:26	10101/10101	U-----	200	untouched ('')	application/javascript	etag:W/%222775-190db6cd0aa%22	https://www.fanduel.com/watch/_next/static/chunks/webpack-53b7a86398ec763a.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/webpack-53b7a86398ec763a.js	(from https://www.fanduel.com/watch)
07:52:30	11045/11045	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%222b25-190f9819ac4%22	https://www.fanduel.com/watch/_next/static/chunks/5351-9c9fdbbf5267654b.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/5351-9c9fdbbf5267654b.js	(from https://www.fanduel.com/watch)
07:52:33	70455/70455	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%2211337-190fe2aa99b%22	https://www.fanduel.com/watch/_next/static/chunks/4118-3345adf795d4b6ef.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/4118-3345adf795d4b6ef.js	(from https://www.fanduel.com/watch)
07:52:42	141072/141072	U-----	200	untouched ('')	application/javascript	etag:W/%2222710-190fe2aa9a5%22	https://www.fanduel.com/watch/_next/static/chunks/framework-f29e48ae95cae5a3.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/framework-f29e48ae95cae5a3.js	(from https://www.fanduel.com/watch)
07:52:43	91727/91727	U-----	200	untouched ('')	application/javascript	etag:W/%221664f-190fe2aa9a5%22	https://www.fanduel.com/watch/_next/static/chunks/main-23cbf7b1a05de8d9.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/main-23cbf7b1a05de8d9.js	(from https://www.fanduel.com/watch)
07:52:46	5170/5170	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%221432-190fe2aa9a5%22	https://www.fanduel.com/watch/_next/static/chunks/pages/index-353839572cc208d0.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/pages/index-353839572cc208d0.js	(from https://www.fanduel.com/watch)
07:53:40	815333/815333	U-----	200	untouched ('')	application/javascript	etag:W/%22c70e5-190f9819ac4%22	https://www.fanduel.com/watch/_next/static/chunks/pages/_app-52b564835edca6f3.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/pages/_app-52b564835edca6f3.js	(from https://www.fanduel.com/watch)
07:53:41	24919/24919	U-----	200	untouched ('')	application/javascript	etag:W/%226157-190f9819ace%22	https://www.fanduel.com/watch/_next/static/chunks/9650-2fd968154329ac8f.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/9650-2fd968154329ac8f.js	(from https://www.fanduel.com/watch)
07:53:41	1316/1316	U-----	200	untouched ('')	application/javascript	etag:W/%22524-190f9819ace%22	https://www.fanduel.com/watch/_next/static/rKYIu8FpRFjlT-ZCftxcQ/_buildManifest.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/rKYIu8FpRFjlT-ZCftxcQ/_buildManifest.js	(from https://www.fanduel.com/watch)
07:53:42	77/77	U-----	200	untouched ('')	application/javascript	etag:W/%224d-190db6cd0aa%22	https://www.fanduel.com/watch/_next/static/rKYIu8FpRFjlT-ZCftxcQ/_ssgManifest.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/rKYIu8FpRFjlT-ZCftxcQ/_ssgManifest.js	(from https://www.fanduel.com/watch)
